serialID,productID,subCategory,productName,productPrice,productUnit,productQualities,mfg,sellerID
1,CLOTHING_Suit1,Suit,Armani,2999,100,"Elegant, Beautiful",Armani Enterprises,NULL
2,CLOTHING_Suit2,Suit,Armani,2999,100,"Elegant, Beautiful",Armani Enterprises,NULL
3,CLOTHING_Suit3,Suit,Armani,2999,100,"Elegant, Beautiful",Armani Enterprises,NULL
4,CLOTHING_T-SHIRT4,T-SHIRT,T-SHIRT4,56.99827558,28,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR6
5,CLOTHING_T-SHIRT5,T-SHIRT,T-SHIRT5,34.31157299,93,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR16
6,CLOTHING_T-SHIRT6,T-SHIRT,T-SHIRT6,50.18218713,76,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR3
7,CLOTHING_T-SHIRT7,T-SHIRT,T-SHIRT7,75.16065422,1,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR17
8,CLOTHING_T-SHIRT8,T-SHIRT,T-SHIRT8,8.361712867,31,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR17
9,CLOTHING_T-SHIRT9,T-SHIRT,T-SHIRT9,29.09154235,37,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR11
10,CLOTHING_T-SHIRT10,T-SHIRT,T-SHIRT10,80.76347259,38,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR18
11,CLOTHING_T-SHIRT11,T-SHIRT,T-SHIRT11,72.42653286,74,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR9
12,CLOTHING_T-SHIRT12,T-SHIRT,T-SHIRT12,17.55623143,3,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR7
13,CLOTHING_T-SHIRT13,T-SHIRT,T-SHIRT13,88.22434312,39,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR17
14,CLOTHING_T-SHIRT14,T-SHIRT,T-SHIRT14,19.02920408,5,"Elegant, Beautiful",JK & Sons ALLAHABAD,VENDOR14
