serialID,productID,subCategory,productName,productPrice,productUnit,productQualities,mfg,sellerID
1,ELECTRONICS_LAPTOP1,LAPTOP,LAPTOP1,199.7736613,225,RUBBISH1,MFG29,VENDOR3
2,ELECTRONICS_LAPTOP2,LAPTOP,LAPTOP2,287.102982,300,RUBBISH2,MFG27,VENDOR1
3,ELECTRONICS_LAPTOP3,LAPTOP,LAPTOP3,82.4597884,210,RUBBISH3,MFG8,VENDOR1
4,ELECTRONICS_LAPTOP4,LAPTOP,LAPTOP4,17.52639411,387,RUBBISH4,MFG20,VENDOR4
5,ELECTRONICS_LAPTOP5,LAPTOP,LAPTOP5,286.2494201,356,RUBBISH5,MFG8,VENDOR1
6,ELECTRONICS_LAPTOP6,LAPTOP,LAPTOP6,11.80584723,212,RUBBISH6,MFG9,VENDOR7
7,ELECTRONICS_LAPTOP7,LAPTOP,LAPTOP7,295.1181843,370,RUBBISH7,MFG16,VENDOR9
8,ELECTRONICS_LAPTOP8,LAPTOP,LAPTOP8,235.857074,311,RUBBISH8,MFG21,VENDOR3
9,ELECTRONICS_LAPTOP9,LAPTOP,LAPTOP9,272.8241137,280,RUBBISH9,MFG25,VENDOR3
10,ELECTRONICS_LAPTOP10,LAPTOP,LAPTOP10,242.2540237,367,RUBBISH10,MFG7,VENDOR6
11,ELECTRONICS_EARPHONE11,EARPHONE,EARPHONE11,33.48493925,198,RUBBISH11,MFG35,VENDOR7
12,ELECTRONICS_EARPHONE12,EARPHONE,EARPHONE12,285.5639572,102,RUBBISH12,MFG9,VENDOR1
13,ELECTRONICS_EARPHONE13,EARPHONE,EARPHONE13,58.41261369,191,RUBBISH13,MFG31,VENDOR4
14,ELECTRONICS_EARPHONE14,EARPHONE,EARPHONE14,113.7345114,400,RUBBISH14,MFG36,VENDOR5
15,ELECTRONICS_EARPHONE15,EARPHONE,EARPHONE15,8.748677301,354,RUBBISH15,MFG11,VENDOR8
16,ELECTRONICS_EARPHONE16,EARPHONE,EARPHONE16,141.5777436,286,RUBBISH16,MFG19,VENDOR7
17,ELECTRONICS_EARPHONE17,EARPHONE,EARPHONE17,64.83115189,286,RUBBISH17,MFG32,VENDOR3
18,ELECTRONICS_EARPHONE18,EARPHONE,EARPHONE18,222.8290487,159,RUBBISH18,MFG6,VENDOR10
19,ELECTRONICS_EARPHONE19,EARPHONE,EARPHONE19,92.26006553,117,RUBBISH19,MFG15,VENDOR10
20,ELECTRONICS_EARPHONE20,EARPHONE,EARPHONE20,290.7183462,169,RUBBISH20,MFG14,VENDOR2
21,ELECTRONICS_CHARGER21,CHARGER,CHARGER21,124.9602267,161,RUBBISH21,MFG13,VENDOR3
22,ELECTRONICS_CHARGER22,CHARGER,CHARGER22,285.0713167,295,RUBBISH22,MFG38,VENDOR8
23,ELECTRONICS_CHARGER23,CHARGER,CHARGER23,118.967232,198,RUBBISH23,MFG10,VENDOR7
24,ELECTRONICS_CHARGER24,CHARGER,CHARGER24,258.7194808,248,RUBBISH24,MFG22,VENDOR3
25,ELECTRONICS_CHARGER25,CHARGER,CHARGER25,203.9511666,346,RUBBISH25,MFG25,VENDOR1
26,ELECTRONICS_CHARGER26,CHARGER,CHARGER26,168.8314092,163,RUBBISH26,MFG3,VENDOR4
27,ELECTRONICS_CHARGER27,CHARGER,CHARGER27,205.4313228,332,RUBBISH27,MFG31,VENDOR8
28,ELECTRONICS_CHARGER28,CHARGER,CHARGER28,257.4519484,300,RUBBISH28,MFG27,VENDOR10
29,ELECTRONICS_CHARGER29,CHARGER,CHARGER29,284.271423,273,RUBBISH29,MFG28,VENDOR3
30,ELECTRONICS_CHARGER30,CHARGER,CHARGER30,266.5016716,282,RUBBISH30,MFG39,VENDOR9
31,ELECTRONICS_MOBILE31,MOBILE,MOBILE31,109.9651344,231,RUBBISH31,MFG27,VENDOR8
32,ELECTRONICS_MOBILE32,MOBILE,MOBILE32,273.8785407,141,RUBBISH32,MFG36,VENDOR5
33,ELECTRONICS_MOBILE33,MOBILE,MOBILE33,105.560277,378,RUBBISH33,MFG7,VENDOR3
34,ELECTRONICS_MOBILE34,MOBILE,MOBILE34,18.42361245,279,RUBBISH34,MFG4,VENDOR9
35,ELECTRONICS_MOBILE35,MOBILE,MOBILE35,59.41151011,357,RUBBISH35,MFG6,VENDOR7
36,ELECTRONICS_MOBILE36,MOBILE,MOBILE36,167.6784366,174,RUBBISH36,MFG26,VENDOR5
37,ELECTRONICS_MOBILE37,MOBILE,MOBILE37,259.0506461,371,RUBBISH37,MFG30,VENDOR7
38,ELECTRONICS_MOBILE38,MOBILE,MOBILE38,32.88731204,121,RUBBISH38,MFG20,VENDOR7
39,ELECTRONICS_MOBILE39,MOBILE,MOBILE39,45.18079335,184,RUBBISH39,MFG22,VENDOR2
40,ELECTRONICS_MOBILE40,MOBILE,MOBILE40,132.7951285,269,RUBBISH40,MFG17,VENDOR8
41,ELECTRONICS_BULB41,BULB,BULB41,260.7082687,365,RUBBISH41,MFG15,VENDOR7
42,ELECTRONICS_BULB42,BULB,BULB42,75.46315602,376,RUBBISH42,MFG4,VENDOR2
43,ELECTRONICS_BULB43,BULB,BULB43,133.015538,126,RUBBISH43,MFG29,VENDOR4
44,ELECTRONICS_BULB44,BULB,BULB44,205.8417693,286,RUBBISH44,MFG20,VENDOR6
45,ELECTRONICS_BULB45,BULB,BULB45,7.819669899,378,RUBBISH45,MFG23,VENDOR8
46,ELECTRONICS_BULB46,BULB,BULB46,261.7823082,112,RUBBISH46,MFG5,VENDOR5
47,ELECTRONICS_BULB47,BULB,BULB47,150.9337331,331,RUBBISH47,MFG38,VENDOR9
48,ELECTRONICS_BULB48,BULB,BULB48,260.0754905,347,RUBBISH48,MFG32,VENDOR1
49,ELECTRONICS_BULB49,BULB,BULB49,74.23898923,391,RUBBISH49,MFG28,VENDOR5
50,ELECTRONICS_BULB50,BULB,BULB50,43.2927303,249,RUBBISH50,MFG30,VENDOR9
51,ELECTRONICS_COPPERWIRE51,COPPERWIRE,COPPERWIRE51,39.86458171,124,RUBBISH51,MFG38,VENDOR4
52,ELECTRONICS_COPPERWIRE52,COPPERWIRE,COPPERWIRE52,269.2834279,360,RUBBISH52,MFG26,VENDOR2
53,ELECTRONICS_COPPERWIRE53,COPPERWIRE,COPPERWIRE53,127.2219617,145,RUBBISH53,MFG24,VENDOR1
54,ELECTRONICS_COPPERWIRE54,COPPERWIRE,COPPERWIRE54,165.7561642,286,RUBBISH54,MFG15,VENDOR5
55,ELECTRONICS_COPPERWIRE55,COPPERWIRE,COPPERWIRE55,29.05506686,151,RUBBISH55,MFG22,VENDOR5
56,ELECTRONICS_COPPERWIRE56,COPPERWIRE,COPPERWIRE56,124.9338897,331,RUBBISH56,MFG24,VENDOR9
57,ELECTRONICS_COPPERWIRE57,COPPERWIRE,COPPERWIRE57,172.4038979,129,RUBBISH57,MFG34,VENDOR4
58,ELECTRONICS_COPPERWIRE58,COPPERWIRE,COPPERWIRE58,132.0307157,130,RUBBISH58,MFG14,VENDOR9
59,ELECTRONICS_COPPERWIRE59,COPPERWIRE,COPPERWIRE59,74.95177598,390,RUBBISH59,MFG11,VENDOR4
60,ELECTRONICS_COPPERWIRE60,COPPERWIRE,COPPERWIRE60,282.1461403,326,RUBBISH60,MFG40,VENDOR4
61,ELECTRONICS_HEATER61,HEATER,HEATER61,15.06716404,318,RUBBISH61,MFG40,VENDOR6
62,ELECTRONICS_HEATER62,HEATER,HEATER62,70.44893456,226,RUBBISH62,MFG28,VENDOR1
63,ELECTRONICS_HEATER63,HEATER,HEATER63,34.62043697,114,RUBBISH63,MFG11,VENDOR5
64,ELECTRONICS_HEATER64,HEATER,HEATER64,218.5634519,160,RUBBISH64,MFG39,VENDOR6
65,ELECTRONICS_HEATER65,HEATER,HEATER65,237.4622798,188,RUBBISH65,MFG8,VENDOR6
66,ELECTRONICS_HEATER66,HEATER,HEATER66,17.80959544,112,RUBBISH66,MFG17,VENDOR5
67,ELECTRONICS_HEATER67,HEATER,HEATER67,243.000706,282,RUBBISH67,MFG37,VENDOR10
68,ELECTRONICS_HEATER68,HEATER,HEATER68,158.801705,313,RUBBISH68,MFG12,VENDOR3
69,ELECTRONICS_HEATER69,HEATER,HEATER69,265.7409002,260,RUBBISH69,MFG24,VENDOR6
70,ELECTRONICS_HEATER70,HEATER,HEATER70,248.3259151,216,RUBBISH70,MFG12,VENDOR10
71,ELECTRONICS_FRIDGE71,FRIDGE,FRIDGE71,125.3547135,362,RUBBISH71,MFG20,VENDOR9
72,ELECTRONICS_FRIDGE72,FRIDGE,FRIDGE72,249.1025735,172,RUBBISH72,MFG25,VENDOR10
73,ELECTRONICS_FRIDGE73,FRIDGE,FRIDGE73,124.4260703,309,RUBBISH73,MFG22,VENDOR8
74,ELECTRONICS_FRIDGE74,FRIDGE,FRIDGE74,6.972228391,250,RUBBISH74,MFG10,VENDOR2
75,ELECTRONICS_FRIDGE75,FRIDGE,FRIDGE75,7.61237064,222,RUBBISH75,MFG24,VENDOR10
76,ELECTRONICS_FRIDGE76,FRIDGE,FRIDGE76,58.71259376,241,RUBBISH76,MFG25,VENDOR1
77,ELECTRONICS_FRIDGE77,FRIDGE,FRIDGE77,64.80521876,131,RUBBISH77,MFG12,VENDOR8
78,ELECTRONICS_FRIDGE78,FRIDGE,FRIDGE78,49.49677459,283,RUBBISH78,MFG22,VENDOR4
79,ELECTRONICS_FRIDGE79,FRIDGE,FRIDGE79,247.7322621,359,RUBBISH79,MFG38,VENDOR10
80,ELECTRONICS_FRIDGE80,FRIDGE,FRIDGE80,197.4827554,161,RUBBISH80,MFG40,VENDOR8
81,ELECTRONICS_COOLER81,COOLER,COOLER81,120.6111332,340,RUBBISH81,MFG24,VENDOR9
82,ELECTRONICS_COOLER82,COOLER,COOLER82,70.3953113,188,RUBBISH82,MFG28,VENDOR10
83,ELECTRONICS_COOLER83,COOLER,COOLER83,219.6179703,215,RUBBISH83,MFG31,VENDOR10
84,ELECTRONICS_COOLER84,COOLER,COOLER84,247.3734146,340,RUBBISH84,MFG37,VENDOR8
85,ELECTRONICS_COOLER85,COOLER,COOLER85,91.88036574,147,RUBBISH85,MFG30,VENDOR5
86,ELECTRONICS_COOLER86,COOLER,COOLER86,100.4216216,269,RUBBISH86,MFG17,VENDOR7
87,ELECTRONICS_COOLER87,COOLER,COOLER87,119.3212179,365,RUBBISH87,MFG7,VENDOR2
88,ELECTRONICS_COOLER88,COOLER,COOLER88,149.6586069,168,RUBBISH88,MFG19,VENDOR5
89,ELECTRONICS_COOLER89,COOLER,COOLER89,292.5636834,267,RUBBISH89,MFG10,VENDOR10
90,ELECTRONICS_COOLER90,COOLER,COOLER90,49.30145867,209,RUBBISH90,MFG22,VENDOR4
91,ELECTRONICS_TV91,TV,TV91,105.004997,337,RUBBISH91,MFG39,VENDOR5
92,ELECTRONICS_TV92,TV,TV92,258.2556719,161,RUBBISH92,MFG25,VENDOR4
93,ELECTRONICS_TV93,TV,TV93,258.8163589,380,RUBBISH93,MFG23,VENDOR4
94,ELECTRONICS_TV94,TV,TV94,232.0593238,349,RUBBISH94,MFG1,VENDOR4
95,ELECTRONICS_TV95,TV,TV95,108.5113985,350,RUBBISH95,MFG5,VENDOR3
96,ELECTRONICS_TV96,TV,TV96,16.96093371,290,RUBBISH96,MFG12,VENDOR6
97,ELECTRONICS_TV97,TV,TV97,278.7136069,321,RUBBISH97,MFG27,VENDOR7
