serialID,productID,subCategory,productName,productPrice,productUnit,productQualities,mfg,sellerID
1,GROCERY_KURKURE1,KURKURE,KURKURE1,119.8003176,614,RUBBISH1,MFG11,VENDOR8
2,GROCERY_KURKURE2,KURKURE,KURKURE2,291.3742874,569,RUBBISH2,MFG38,VENDOR14
3,GROCERY_KURKURE3,KURKURE,KURKURE3,284.4452838,734,RUBBISH3,MFG30,VENDOR20
4,GROCERY_KURKURE4,KURKURE,KURKURE4,237.6614005,965,RUBBISH4,MFG23,VENDOR8
5,GROCERY_KURKURE5,KURKURE,KURKURE5,166.8750106,793,RUBBISH5,MFG21,VENDOR3
6,GROCERY_KURKURE6,KURKURE,KURKURE6,289.2187244,363,RUBBISH6,MFG20,VENDOR20
7,GROCERY_KURKURE7,KURKURE,KURKURE7,242.9412392,589,RUBBISH7,MFG14,VENDOR19
8,GROCERY_KURKURE8,KURKURE,KURKURE8,41.5906015,248,RUBBISH8,MFG39,VENDOR3
9,GROCERY_KURKURE9,KURKURE,KURKURE9,11.97874399,787,RUBBISH9,MFG10,VENDOR16
10,GROCERY_KURKURE10,KURKURE,KURKURE10,211.4014395,478,RUBBISH10,MFG22,VENDOR13
11,GROCERY_BHUJIYA11,BHUJIYA,BHUJIYA11,184.5402358,403,RUBBISH11,MFG32,VENDOR18
12,GROCERY_BHUJIYA12,BHUJIYA,BHUJIYA12,66.87066574,961,RUBBISH12,MFG10,VENDOR16
13,GROCERY_BHUJIYA13,BHUJIYA,BHUJIYA13,143.5201355,220,RUBBISH13,MFG14,VENDOR17
14,GROCERY_BHUJIYA14,BHUJIYA,BHUJIYA14,259.3965431,311,RUBBISH14,MFG19,VENDOR11
15,GROCERY_BHUJIYA15,BHUJIYA,BHUJIYA15,199.9908817,468,RUBBISH15,MFG25,VENDOR13
16,GROCERY_BHUJIYA16,BHUJIYA,BHUJIYA16,188.8794515,827,RUBBISH16,MFG18,VENDOR7
17,GROCERY_BHUJIYA17,BHUJIYA,BHUJIYA17,293.2512723,868,RUBBISH17,MFG15,VENDOR18
18,GROCERY_BHUJIYA18,BHUJIYA,BHUJIYA18,53.00832428,361,RUBBISH18,MFG29,VENDOR20
19,GROCERY_BHUJIYA19,BHUJIYA,BHUJIYA19,298.6827248,882,RUBBISH19,MFG13,VENDOR14
20,GROCERY_BHUJIYA20,BHUJIYA,BHUJIYA20,142.4037695,689,RUBBISH20,MFG21,VENDOR5
21,GROCERY_AALOOBHUJIA21,AALOOBHUJIA,AALOOBHUJIA21,236.4326372,896,RUBBISH21,MFG22,VENDOR14
22,GROCERY_AALOOBHUJIA22,AALOOBHUJIA,AALOOBHUJIA22,86.23534584,686,RUBBISH22,MFG32,VENDOR14
23,GROCERY_AALOOBHUJIA23,AALOOBHUJIA,AALOOBHUJIA23,42.59133166,969,RUBBISH23,MFG25,VENDOR13
24,GROCERY_AALOOBHUJIA24,AALOOBHUJIA,AALOOBHUJIA24,86.23719677,575,RUBBISH24,MFG17,VENDOR15
25,GROCERY_AALOOBHUJIA25,AALOOBHUJIA,AALOOBHUJIA25,164.8838216,764,RUBBISH25,MFG25,VENDOR5
26,GROCERY_AALOOBHUJIA26,AALOOBHUJIA,AALOOBHUJIA26,18.5511076,684,RUBBISH26,MFG16,VENDOR19
27,GROCERY_AALOOBHUJIA27,AALOOBHUJIA,AALOOBHUJIA27,238.90016,835,RUBBISH27,MFG36,VENDOR3
28,GROCERY_AALOOBHUJIA28,AALOOBHUJIA,AALOOBHUJIA28,150.6437973,903,RUBBISH28,MFG28,VENDOR17
29,GROCERY_AALOOBHUJIA29,AALOOBHUJIA,AALOOBHUJIA29,60.23915107,415,RUBBISH29,MFG15,VENDOR19
30,GROCERY_AALOOBHUJIA30,AALOOBHUJIA,AALOOBHUJIA30,231.0052046,418,RUBBISH30,MFG14,VENDOR20
